Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TOP, TheShy (14480476), TheShy,14480476,TOP,6800,BLG@iG 04/12/2020 05:30AM ET,iG,62.98
JNG, Ning (14480554), Ning,14480554,JNG,6800,BLG@iG 04/12/2020 05:30AM ET,iG,54.80
ADC, SS (14480561), SS,14480561,ADC,6600,DRX@AF 04/12/2020 04:00AM ET,AF,30.25
JNG, Clid (14480510), Clid,14480510,JNG,6600,HLE@GEN 04/12/2020 05:30AM ET,GEN,65.87
TOP, bin (14480477), bin,14480477,TOP,6600,SN@DMO 04/12/2020 02:00AM ET,SN,35.61
MID, FoFo (14480493), FoFo,14480493,MID,6600,BLG@iG 04/12/2020 05:30AM ET,BLG,67.42
TEAM, Afreeca Freecs (14480621), Afreeca Freecs,14480621,CPT,6600,DRX@AF 04/12/2020 04:00AM ET,AF,38.75
SUP, Ben (14480639), Ben,14480639,CPT,6600,DRX@AF 04/12/2020 04:00AM ET,AF,1.97
SUP, Lehends (14480592), Lehends,14480592,CPT,6600,HLE@GEN 04/12/2020 05:30AM ET,HLE,37.88
JNG, Xiaopeng (14480511), Xiaopeng,14480511,JNG,6400,SN@DMO 04/12/2020 02:00AM ET,DMO,52.34
TOP, Biubiu (14480536), Biubiu,14480536,TOP,6400,SN@DMO 04/12/2020 02:00AM ET,SN,57.89
TOP, Khan (14480478), Khan,14480478,TOP,6400,FPX@EDG 04/12/2020 04:00AM ET,FPX,66.10
ADC, Jinjiao (14480524), Jinjiao,14480524,ADC,6400,BLG@iG 04/12/2020 05:30AM ET,BLG,60.79
TEAM, Hanwha Life Esports (14480622), Hanwha Life Esports,14480622,CPT,6300,HLE@GEN 04/12/2020 05:30AM ET,HLE,30.69
SUP, XinMo (14480593), XinMo,14480593,CPT,6300,BLG@iG 04/12/2020 05:30AM ET,BLG,39.58
MID, All iN (14480494), All iN,14480494,MID,6200,DRX@AF 04/12/2020 04:00AM ET,AF,41.29
TOP, Rascal (14480479), Rascal,14480479,TOP,6200,HLE@GEN 04/12/2020 05:30AM ET,GEN,61.60
ADC, Vsta (14480525), Vsta,14480525,ADC,6200,HLE@GEN 04/12/2020 05:30AM ET,HLE,44.10
JNG, bless (14480555), bless,14480555,JNG,6200,SN@DMO 04/12/2020 02:00AM ET,DMO,8.72
TOP, GimGoon (14480537), GimGoon,14480537,TOP,6200,FPX@EDG 04/12/2020 04:00AM ET,FPX,62.69
TOP, Xiao7 (14480538), Xiao7,14480538,TOP,6200,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
